ar_bank_id,study_id,species_group,organism,source,biosample_accession,panel_id,panel_url,detail_url,amoxicillin_clavulanic_acid,amoxicillin_clavulanic_acid_int,ampicillin,ampicillin_int,azithromycin,azithromycin_int,cefoxitin,cefoxitin_int,ceftiofur,ceftiofur_int,ceftriaxone,ceftriaxone_int,chloramphenicol,chloramphenicol_int,ciprofloxacin,ciprofloxacin_int,gentamicin,gentamicin_int,nalidixic_acid,nalidixic_acid_int,streptomycin,streptomycin_int,sulfisoxazole,sulfisoxazole_int,tetracycline,tetracycline_int,trimethoprim_sulfamethoxazole,trimethoprim_sulfamethoxazole_int
AR-0401,GI-01,Salmonella enterica,Salmonella Albert,stool,SAMN12648951,6,https://wwwn.cdc.gov/ArIsolateBank/Panel/PanelDetail?ID=6,https://wwwn.cdc.gov/ArIsolateBank/Panel/IsolateDetail?IsolateID=401&PanelID=6,>32,R,>32,R,4,---,>32,R,>8,---,64,R,>32,R,0.25,I,0.5,S,>32,---,>64,---,>256,R,>32,R,0.25,S
AR-0404,GI-04,Salmonella enterica,Salmonella Heidelberg,stool,SAMN12648954,6,https://wwwn.cdc.gov/ArIsolateBank/Panel/PanelDetail?ID=6,https://wwwn.cdc.gov/ArIsolateBank/Panel/IsolateDetail?IsolateID=404&PanelID=6,>32,R,>32,R,4,---,>32,R,>8,---,16,R,4,S,<=0.015,S,<=0.25,S,4,---,8,---,<=16,S,<=4,S,<=0.12,S
AR-0408,GI-08,Salmonella enterica,Salmonella Typhimurium,stool,SAMN12648958,6,https://wwwn.cdc.gov/ArIsolateBank/Panel/PanelDetail?ID=6,https://wwwn.cdc.gov/ArIsolateBank/Panel/IsolateDetail?IsolateID=408&PanelID=6,>32,R,>32,R,4,---,>32,R,>8,---,32,R,>32,R,<=0.015,S,<=0.25,S,4,---,>64,---,>256,R,>32,R,0.25,S
AR-0410,GI-10,Salmonella enterica,Salmonella Infantis,stool,SAMN12648960,6,https://wwwn.cdc.gov/ArIsolateBank/Panel/PanelDetail?ID=6,https://wwwn.cdc.gov/ArIsolateBank/Panel/IsolateDetail?IsolateID=410&PanelID=6,4,S,>32,R,4,---,4,S,>8,---,>64,R,>32,R,0.12,I,8,I,>32,---,32,---,>256,R,>32,R,>8,R
