LABID,Strain,BAPS2_1092,NewBaps,Genome.Set,Pathogen,Serotype,Source,Year,Amoxicillin,Cefquinome,Ceftiofur,Penicillin
1602956,1602956,1,1.0,Canada,SYS-OTHER,4,Pig,2014.0,0.03,0.03,0.12,0.03
1603813,1603813,23,26.0,Canada,UNKNOWN,2,Pig,2014.0,0.03,0.015,0.12,0.03
1606517,1606517,2,1.0,Canada,UNKNOWN,3,Pig,2014.0,0.03,0.03,0.12,0.03
1606529,1606529,23,26.0,Canada,UNKNOWN,1/2,Pig,2014.0,0.03,0.015,0.12,0.03
1607743,1607743,2,1.0,Canada,UNKNOWN,4,Pig,2014.0,0.06,1.0,4.0,0.12
1607744,1607744,32,5.0,Canada,UNKNOWN,5,Pig,2014.0,0.03,0.03,0.12,0.03
1610743,1610743,2,1.0,Canada,SYS-OTHER,3,Pig,2014.0,0.03,0.03,0.12,0.03
1611505,1611505,18,4.0,Canada,SYS-OTHER,14,Pig,2014.0,0.03,0.03,0.25,0.03
1614720,1614720,12,8.0,Canada,UNKNOWN,16,Pig,2014.0,0.03,0.06,2.0,0.12
1615460,1615460,6,10.0,Canada,SYS-OTHER,,Pig,2014.0,0.03,0.06,0.12,0.03
1615461,1615461,2,1.0,Canada,SYS-BRAIN,9,Pig,2014.0,0.03,0.03,0.12,0.03
1615892,1615892,7,14.0,Canada,UNKNOWN,9,Pig,2014.0,0.03,0.015,0.12,0.03
1619952,1619952,18,4.0,Canada,SYS-BRAIN,1,Pig,2014.0,0.03,0.03,0.25,0.03
1621705,1621705,5,21.0,Canada,SYS-OTHER,,Pig,2014.0,0.06,0.06,1.0,2.0
1622145,1622145,5,21.0,Canada,RESP,28,Pig,2014.0,0.5,0.25,8.0,16.0
1628823,1628823,32,5.0,Canada,SYS-BRAIN,8,Pig,2014.0,0.03,0.06,0.12,0.03
1633180,1633180,2,1.0,Canada,SYS-BRAIN,23,Pig,2014.0,0.03,0.03,0.12,0.03
1636820,1636820,26,27.0,Canada,SYS-OTHER,2,Pig,2014.0,0.03,0.03,0.12,0.03
1637946,1637946,1,1.0,Canada,SYS-OTHER,5,Pig,2014.0,0.03,0.03,0.12,0.03
1644048,1644048,18,4.0,Canada,SYS-OTHER,1,Pig,2014.0,0.03,0.03,0.12,0.03
1650131,1650131,23,25.0,Canada,SYS-OTHER,2,Pig,2014.0,0.03,0.015,0.12,0.03
1650132,1650132,23,26.0,Canada,SYS-OTHER,1/2,Pig,2014.0,0.03,0.015,0.06,0.03
1651929,1651929,23,26.0,Canada,RESP,2,Pig,2014.0,0.03,0.015,0.12,0.03
1652716,1652716,2,1.0,Canada,SYS-BRAIN,4,Pig,2014.0,0.03,0.03,0.12,0.03
1654537,1654537,23,26.0,Canada,RESP,1/2,Pig,2014.0,0.03,0.015,0.12,0.03
1656890,1656890,2,1.0,Canada,SYS-OTHER,3,Pig,2014.0,0.03,0.03,0.12,0.03
1659834,1659834,18,4.0,Canada,SYS-OTHER,1,Pig,2014.0,0.03,0.03,0.12,0.03
1661949,1661949,23,25.0,Canada,SYS-OTHER,1/2,Pig,2014.0,0.03,0.015,0.06,0.03
1665814,1665814,1,1.0,Canada,SYS-OTHER,4,Pig,2014.0,0.03,0.03,0.12,0.03
1666725,1666725,26,27.0,Canada,SYS-OTHER,2,Pig,2014.0,0.03,0.015,0.12,0.03
1666727,1666727,18,4.0,Canada,SYS-OTHER,14,Pig,2014.0,0.03,0.03,0.25,0.03
1667796,1667796,26,27.0,Canada,SYS-BRAIN,2,Pig,2014.0,0.03,0.03,0.12,0.03
1671154,1671154,5,21.0,Canada,SYS-OTHER,27,Pig,2014.0,0.12,0.12,1.0,1.0
87_4647,87-4647,6,10.0,Canada,UNKNOWN,,Pig,1987.0,0.03,0.03,0.12,0.03
88_2775,88-2775,5,21.0,Canada,RESP,13,Pig,1988.0,0.06,0.06,1.0,4.0
88_5454A,88-5454A,22,25.0,Canada,RESP,3,Pig,1988.0,0.03,0.015,0.12,0.03
89_1591,89-1591,26,27.0,Canada,SYS-OTHER,2,Pig,1989.0,0.03,0.015,0.12,0.03
89_1824,89-1824,3,2.0,Canada,SYS-BRAIN,19,Pig,1989.0,0.03,0.06,0.5,0.25
89_289,89-289,6,9.0,Canada,UNKNOWN,9,Pig,1989.0,0.06,0.06,1.0,2.0
