LABID,BAPS2_1092,NewBaps,Genome.Set,Pathogen,Serotype.x,Source,Year,ErmB,ErmG,ErmT,linB,lnuB,lnuC,lsaE,vgaLC,mefA,mel,parC,tet44,tetM,tetO,tetW,tet40,tetL,tetOW32O,ANT4Ib,ANT6Ia,ANT6Ib,ANT6Ib1,ANT9Ia,APH3IIIa,ANT1,aadE1,aadE2,dfr:1,dfr:2,dfrF,dfrK,folP,cat1,blaZ,pbp2B,pbp2X:1,pbp2X:2,pbp2X:3,mraY
1462648,18,4,Canada,SYS-OTHER,14,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1463646,18,4,Canada,SYS-BRAIN,14,Pig,2013,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1464747,32,5,Canada,UNKNOWN,8,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1464749,18,4,Canada,SYS-OTHER,14,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1465473,18,4,Canada,SYS-OTHER,14,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1466571,7,11,Canada,SYS-BRAIN,NA,Pig,2013,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
1475186,22,24,Canada,SYS-OTHER,3,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1477528,22,25,Canada,UNKNOWN,3,Pig,2013,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1478991,32,5,Canada,RESP,8,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1481256,32,5,Canada,UNKNOWN,8,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1481257,32,5,Canada,SYS-OTHER,8,Pig,2013,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1491188,2,1,Canada,RESP,23,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1493634,32,5,Canada,UNKNOWN,16,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
