"LABID","PT","Penicillin","Amoxicillin","Meropenem","Cefotaxime","Ceftriaxone","Cefuroxime"
"20152804","0-0-124",0.03,0.03,0.06,0.06,0.5,0.5
"20153447","0-0-124",0.03,0.03,0.06,0.06,0.5,0.5
"20152919","0-0-132",0.03,0.03,0.06,0.06,0.5,0.5
"20153276","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"2013209148","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"20153287","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"2014201466","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"2013218334","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"20154368","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"20152803","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"20152902","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"20154585","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"20152246","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"20154577","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"2012220098","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"20153026","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"2012217273","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"2013210908","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"2012220097","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"2013212277","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"20154581","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"20152823","0-0-17",0.03,0.03,0.06,0.06,0.5,0.5
"2014202199","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154333","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013216246","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152719","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152721","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154263","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152817","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153218","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152210","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2009217709","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152644","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154466","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"6205-04","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152720","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154504","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2014202193","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2010216231","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013226310","0-0-2",0.03,0.06,0.06,0.06,0.5,0.5
"20152264","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20151891","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013219514","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"5099-99","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152718","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2009215660","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152895","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154268","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2012224855","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152724","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154464","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152913","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"3639-06","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152422","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013206358","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013208734","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013211698","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2014202041","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152676","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"7866-05","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2012215020","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153527","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152812","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154669","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153178","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013202258","0-0-2",0.03,0.03,0.06,0.12,0.5,0.5
"2009219960","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2012219825","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153022","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2009209909","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152244","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2009201376","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153397","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152710","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013210857","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153292","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154261","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
